slug,title,difficulty,topics,pattern,leetcode_url
move-zeroes,Move Zeroes,easy,array|two-pointers,Arrays,https://leetcode.com/problems/move-zeroes
majority-element,Majority Element,easy,array|hash-table|divide-and-conquer|sorting|counting,Arrays,https://leetcode.com/problems/majority-element
remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,easy,array|two-pointers,Arrays,https://leetcode.com/problems/remove-duplicates-from-sorted-array
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,easy,array|dynamic-programming,Arrays,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
rotate-array,Rotate Array,medium,array|math|two-pointers,Arrays,https://leetcode.com/problems/rotate-array
product-of-array-except-self,Product of Array Except Self,medium,array|prefix-sum,Arrays,https://leetcode.com/problems/product-of-array-except-self
best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,medium,array|dynamic-programming|greedy,Arrays,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
number-of-zero-filled-subarrays,Number of Zero-Filled Subarrays,medium,array|math,Arrays,https://leetcode.com/problems/number-of-zero-filled-subarrays
increasing-triplet-subsequence,Increasing Triplet Subsequence,medium,array|greedy,Arrays,https://leetcode.com/problems/increasing-triplet-subsequence
first-missing-positive,First Missing Positive,hard,array|hash-table,Arrays,https://leetcode.com/problems/first-missing-positive
is-subsequence,Is Subsequence,easy,two-pointers|string|dynamic-programming,Strings,https://leetcode.com/problems/is-subsequence
valid-palindrome,Valid Palindrome,easy,two-pointers|string,Strings,https://leetcode.com/problems/valid-palindrome
longest-common-prefix,Longest Common Prefix,easy,array|string|trie,Strings,https://leetcode.com/problems/longest-common-prefix
zigzag-conversion,Zigzag Conversion,medium,string,Strings,https://leetcode.com/problems/zigzag-conversion
reverse-words-in-a-string,Reverse Words in a String,medium,two-pointers|string,Strings,https://leetcode.com/problems/reverse-words-in-a-string
guess-the-word,guess-the-word,medium,array|math|string|interactive|game-theory,Strings,https://leetcode.com/problems/guess-the-word
